City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Eyl,SO,2021-10-21 19:19:49,7.9803,49.8164,78.44,82,37,7.99
167,Bay Roberts,CA,2021-10-21 19:19:49,47.5999,-53.2648,53.33,71,77,8.01
168,Raga,SS,2021-10-21 19:19:49,8.4596,25.678,72.34,87,100,1.39
169,Saint-Augustin,CA,2021-10-21 19:19:49,51.226,-58.6502,45.41,53,84,15.88
170,Hualmay,PE,2021-10-21 19:19:49,-11.0964,-77.6139,68.58,70,24,9.71
171,Ancud,CL,2021-10-21 19:19:49,-41.8697,-73.8203,51.33,61,52,9.64
172,Coquimbo,CL,2021-10-21 19:15:53,-29.9533,-71.3436,62.33,72,20,13.8
173,Ilhabela,BR,2021-10-21 19:19:50,-23.7781,-45.3581,68.54,79,70,7.96
174,Puerto Madryn,AR,2021-10-21 19:19:50,-42.7692,-65.0385,63.68,30,22,20.71
175,Coahuayana,MX,2021-10-21 19:19:50,18.7333,-103.6833,89.08,58,74,5.95
176,Santa Cruz,BO,2021-10-21 19:17:18,-17.8,-63.1667,94.46,38,75,12.66
177,Prince Rupert,CA,2021-10-21 19:19:50,54.3161,-130.3201,57.29,57,75,9.22
178,Winnemucca,US,2021-10-21 19:19:50,40.973,-117.7357,68.05,28,90,6.91
179,Sandakan,MY,2021-10-21 19:19:51,5.8402,118.1179,76.68,94,95,2.3
180,Avera,US,2021-10-21 19:19:51,33.194,-82.5271,80.91,47,33,8.99
181,Nizhniy Tsasuchey,RU,2021-10-21 19:19:51,50.5167,115.1333,31.41,72,0,5.26
182,Warrington,GB,2021-10-21 19:19:15,53.3925,-2.5802,49.86,82,75,7.0
183,Sheregesh,RU,2021-10-21 19:19:51,52.9209,87.9869,40.32,65,100,4.23
184,Henties Bay,NA,2021-10-21 19:19:51,-22.116,14.2845,60.85,90,0,2.86
185,Panlaitan,PH,2021-10-21 19:19:52,12.1191,119.8486,81.68,77,100,1.39
186,Ouadda,CF,2021-10-21 19:19:52,8.0777,22.4007,69.1,91,99,1.88
187,Nikolskoye,RU,2021-10-21 19:19:52,59.7035,30.7861,55.87,89,100,13.58
188,Verkhnechusovskiye Gorodki,RU,2021-10-21 19:19:52,58.1671,57.1086,33.55,96,100,11.52
189,Saint Anthony,US,2021-10-21 19:19:52,45.0205,-93.218,51.66,55,1,1.99
190,Karpathos,GR,2021-10-21 19:19:53,35.507,27.2132,62.56,72,0,8.05
191,Jiaojiang,CN,2021-10-21 19:19:53,28.6803,121.4428,52.21,91,92,7.45
192,Geraldton,AU,2021-10-21 19:19:53,-28.7667,114.6,59.41,88,90,0.0
193,Evans,US,2021-10-21 19:19:53,33.5337,-82.1307,80.8,59,20,3.0
194,Ruthin,GB,2021-10-21 19:19:53,53.1137,-3.3178,50.45,88,73,9.8
195,Severo-Kurilsk,RU,2021-10-21 19:19:53,50.6789,156.125,36.72,71,87,8.01
196,Bengkulu,ID,2021-10-21 19:19:54,-3.8004,102.2655,75.02,92,94,3.4
